version,N_taps,S,trial,ns_per_sample_per_tap
scalar,2,200000,0,13.381000000
sse,2,200000,0,31.687750000
avx,2,200000,0,49.775500000
scalar,2,200000,1,21.364000000
sse,2,200000,1,30.318750000
avx,2,200000,1,50.250250000
scalar,2,200000,2,11.809000000
sse,2,200000,2,32.173000000
avx,2,200000,2,53.858250000
scalar,2,200000,3,13.056750000
sse,2,200000,3,33.665500000
avx,2,200000,3,65.415750000
scalar,2,200000,4,10.699500000
sse,2,200000,4,36.929250000
avx,2,200000,4,43.488750000
scalar,4,200000,0,9.270000000
sse,4,200000,0,14.979000000
avx,4,200000,0,21.845000000
scalar,4,200000,1,9.934125000
sse,4,200000,1,15.777875000
avx,4,200000,1,23.620000000
scalar,4,200000,2,8.979125000
sse,4,200000,2,15.354375000
avx,4,200000,2,21.437375000
scalar,4,200000,3,10.664625000
sse,4,200000,3,15.135750000
avx,4,200000,3,21.508625000
scalar,4,200000,4,9.183750000
sse,4,200000,4,14.852875000
avx,4,200000,4,22.488375000
scalar,6,200000,0,9.333166667
sse,6,200000,0,14.043583333
avx,6,200000,0,20.771250000
scalar,6,200000,1,8.677416667
sse,6,200000,1,10.024500000
avx,6,200000,1,14.837333333
scalar,6,200000,2,8.561916667
sse,6,200000,2,9.983416667
avx,6,200000,2,17.757166667
scalar,6,200000,3,13.145916667
sse,6,200000,3,11.630916667
avx,6,200000,3,15.259083333
scalar,6,200000,4,8.918666667
sse,6,200000,4,14.650833333
avx,6,200000,4,14.538500000
scalar,8,200000,0,8.383250000
sse,8,200000,0,8.089125000
avx,8,200000,0,11.003500000
scalar,8,200000,1,8.197062500
sse,8,200000,1,7.392312500
avx,8,200000,1,11.205812500
scalar,8,200000,2,9.065000000
sse,8,200000,2,7.656250000
avx,8,200000,2,11.896062500
scalar,8,200000,3,8.430937500
sse,8,200000,3,7.502312500
avx,8,200000,3,11.138000000
scalar,8,200000,4,8.314375000
sse,8,200000,4,7.457125000
avx,8,200000,4,11.061250000
scalar,10,200000,0,8.342150000
sse,10,200000,0,6.127200000
avx,10,200000,0,8.722300000
scalar,10,200000,1,8.031250000
sse,10,200000,1,5.936500000
avx,10,200000,1,8.713500000
scalar,10,200000,2,7.961750000
sse,10,200000,2,5.940700000
avx,10,200000,2,8.983700000
scalar,10,200000,3,17.635650000
sse,10,200000,3,12.881650000
avx,10,200000,3,17.580750000
scalar,10,200000,4,27.215200000
sse,10,200000,4,15.871100000
avx,10,200000,4,21.436750000
scalar,12,200000,0,17.144541667
sse,12,200000,0,9.251000000
avx,12,200000,0,8.039875000
scalar,12,200000,1,8.906500000
sse,12,200000,1,4.988750000
avx,12,200000,1,7.431041667
scalar,12,200000,2,11.993250000
sse,12,200000,2,7.006416667
avx,12,200000,2,7.560416667
scalar,12,200000,3,8.678541667
sse,12,200000,3,4.955833333
avx,12,200000,3,7.251375000
scalar,12,200000,4,9.433333333
sse,12,200000,4,5.298916667
avx,12,200000,4,7.512041667
scalar,14,200000,0,9.611535714
sse,14,200000,0,4.419678571
avx,14,200000,0,7.282142857
scalar,14,200000,1,8.702821429
sse,14,200000,1,4.256642857
avx,14,200000,1,6.231392857
scalar,14,200000,2,8.530142857
sse,14,200000,2,4.365642857
avx,14,200000,2,6.760607143
scalar,14,200000,3,8.639357143
sse,14,200000,3,4.792678571
avx,14,200000,3,7.218571429
scalar,14,200000,4,8.647285714
sse,14,200000,4,4.274964286
avx,14,200000,4,6.214571429
scalar,16,200000,0,9.782093750
sse,16,200000,0,3.819125000
avx,16,200000,0,5.466562500
scalar,16,200000,1,13.011062500
sse,16,200000,1,5.200593750
avx,16,200000,1,8.461687500
scalar,16,200000,2,10.418781250
sse,16,200000,2,3.751312500
avx,16,200000,2,5.645000000
scalar,16,200000,3,8.532125000
sse,16,200000,3,3.793750000
avx,16,200000,3,5.500750000
scalar,16,200000,4,9.773125000
sse,16,200000,4,3.743625000
avx,16,200000,4,5.467625000
