version,N_taps,S,trial,ns_per_sample_per_tap
scalar,2,100,0,6.500000000
sse,2,100,0,44.000000000
avx,2,100,0,37.500000000
scalar,2,100,1,4.500000000
sse,2,100,1,23.500000000
avx,2,100,1,38.000000000
scalar,2,100,2,4.000000000
sse,2,100,2,20.500000000
avx,2,100,2,22.500000000
scalar,2,100,3,3.500000000
sse,2,100,3,19.000000000
avx,2,100,3,21.000000000
scalar,2,100,4,3.500000000
sse,2,100,4,19.000000000
avx,2,100,4,21.000000000
scalar,2,1000,0,3.550000000
sse,2,1000,0,21.050000000
avx,2,1000,0,26.800000000
scalar,2,1000,1,3.350000000
sse,2,1000,1,19.000000000
avx,2,1000,1,25.950000000
scalar,2,1000,2,3.300000000
sse,2,1000,2,17.900000000
avx,2,1000,2,18.200000000
scalar,2,1000,3,3.200000000
sse,2,1000,3,17.650000000
avx,2,1000,3,23.000000000
scalar,2,1000,4,3.200000000
sse,2,1000,4,17.750000000
avx,2,1000,4,18.100000000
scalar,2,10000,0,3.210000000
sse,2,10000,0,17.605000000
avx,2,10000,0,18.765000000
scalar,2,10000,1,3.205000000
sse,2,10000,1,17.600000000
avx,2,10000,1,17.895000000
scalar,2,10000,2,3.195000000
sse,2,10000,2,17.595000000
avx,2,10000,2,17.935000000
scalar,2,10000,3,3.195000000
sse,2,10000,3,17.595000000
avx,2,10000,3,17.935000000
scalar,2,10000,4,3.195000000
sse,2,10000,4,17.595000000
avx,2,10000,4,18.620000000
scalar,2,100000,0,3.211000000
sse,2,100000,0,16.780000000
avx,2,100000,0,16.479500000
scalar,2,100000,1,3.120000000
sse,2,100000,1,15.017000000
avx,2,100000,1,15.831000000
scalar,2,100000,2,2.793000000
sse,2,100000,2,17.266000000
avx,2,100000,2,14.873500000
scalar,2,100000,3,2.526000000
sse,2,100000,3,14.098000000
avx,2,100000,3,15.230500000
scalar,2,100000,4,3.410000000
sse,2,100000,4,14.353500000
avx,2,100000,4,14.644000000
scalar,2,1000000,0,2.563900000
sse,2,1000000,0,16.489850000
avx,2,1000000,0,15.031500000
scalar,2,1000000,1,2.706750000
sse,2,1000000,1,14.247350000
avx,2,1000000,1,15.094000000
scalar,2,1000000,2,2.761400000
sse,2,1000000,2,14.110400000
avx,2,1000000,2,14.281350000
scalar,2,1000000,3,2.600850000
sse,2,1000000,3,14.486250000
avx,2,1000000,3,14.732300000
scalar,2,1000000,4,2.553650000
sse,2,1000000,4,15.426250000
avx,2,1000000,4,14.576050000
scalar,10,100,0,2.100000000
sse,10,100,0,6.200000000
avx,10,100,0,6.800000000
scalar,10,100,1,2.000000000
sse,10,100,1,5.300000000
avx,10,100,1,5.900000000
scalar,10,100,2,1.900000000
sse,10,100,2,5.400000000
avx,10,100,2,8.100000000
scalar,10,100,3,1.600000000
sse,10,100,3,4.300000000
avx,10,100,3,5.200000000
scalar,10,100,4,1.700000000
sse,10,100,4,5.200000000
avx,10,100,4,5.300000000
scalar,10,1000,0,1.420000000
sse,10,1000,0,2.800000000
avx,10,1000,0,2.850000000
scalar,10,1000,1,1.420000000
sse,10,1000,1,2.780000000
avx,10,1000,1,4.820000000
scalar,10,1000,2,1.600000000
sse,10,1000,2,6.050000000
avx,10,1000,2,3.820000000
scalar,10,1000,3,2.090000000
sse,10,1000,3,3.210000000
avx,10,1000,3,3.970000000
scalar,10,1000,4,1.830000000
sse,10,1000,4,3.400000000
avx,10,1000,4,3.510000000
scalar,10,10000,0,1.413000000
sse,10,10000,0,2.795000000
avx,10,10000,0,2.806000000
scalar,10,10000,1,1.410000000
sse,10,10000,1,2.729000000
avx,10,10000,1,3.422000000
scalar,10,10000,2,1.540000000
sse,10,10000,2,2.866000000
avx,10,10000,2,2.801000000
scalar,10,10000,3,1.446000000
sse,10,10000,3,2.730000000
avx,10,10000,3,2.833000000
scalar,10,10000,4,1.410000000
sse,10,10000,4,2.729000000
avx,10,10000,4,2.795000000
scalar,10,100000,0,1.484400000
sse,10,100000,0,2.811600000
avx,10,100000,0,2.957000000
scalar,10,100000,1,1.417400000
sse,10,100000,1,3.119900000
avx,10,100000,1,4.028800000
scalar,10,100000,2,1.693000000
sse,10,100000,2,3.995800000
avx,10,100000,2,2.883800000
scalar,10,100000,3,1.478500000
sse,10,100000,3,2.748400000
avx,10,100000,3,2.852700000
scalar,10,100000,4,1.429900000
sse,10,100000,4,2.827800000
avx,10,100000,4,2.961100000
scalar,10,1000000,0,1.438200000
sse,10,1000000,0,2.922000000
avx,10,1000000,0,2.972070000
scalar,10,1000000,1,1.439240000
sse,10,1000000,1,2.899980000
avx,10,1000000,1,3.114760000
scalar,10,1000000,2,1.596610000
sse,10,1000000,2,3.315430000
avx,10,1000000,2,3.033560000
scalar,10,1000000,3,1.498730000
sse,10,1000000,3,3.038420000
avx,10,1000000,3,3.138500000
scalar,10,1000000,4,1.476950000
sse,10,1000000,4,3.797620000
avx,10,1000000,4,7.953820000
